file_path,modality,vocal_channel,emotion,intensity,statement,repetition,actor,audio_length
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-01-01.wav,3,1,6,1,1,1,1,3.6703333333333332
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-02-01.wav,3,1,6,1,1,2,1,3.636979166666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-01-01.wav,3,1,6,1,2,1,1,3.4367708333333336
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-02-01.wav,3,1,6,1,2,2,1,3.7036875
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-02-01.wav,3,1,6,2,1,2,1,4.2375625
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-01-01.wav,3,1,6,2,2,1,1,3.970625
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-02-01.wav,3,1,6,2,2,2,1,3.9039166666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-01-01.wav,3,1,7,1,1,1,1,3.8705208333333334
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-02-01.wav,3,1,7,1,1,2,1,3.9038958333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-01-01.wav,3,1,7,1,2,1,1,3.9038958333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-02-01.wav,3,1,7,1,2,2,1,3.8371666666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-01-01.wav,3,1,7,2,1,1,1,4.304291666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-02-01.wav,3,1,7,2,1,2,1,4.104104166666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-01-01.wav,3,1,7,2,2,1,1,4.037375
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-02-01.wav,3,1,7,2,2,2,1,4.371020833333334
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-01-01.wav,3,1,8,1,1,1,1,3.403395833333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-02-01.wav,3,1,8,1,1,2,1,3.2699166666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-01-01.wav,3,1,8,1,2,1,1,3.536875
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-02-01.wav,3,1,8,1,2,2,1,3.2699166666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-01-01.wav,3,1,8,2,1,1,1,3.43675
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-02-01.wav,3,1,8,2,1,2,1,3.5702291666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-01-01.wav,3,1,8,2,2,1,1,3.5035
D:/1188976/Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-02-01.wav,3,1,8,2,2,2,1,3.2699375
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-01-02.wav,3,1,1,1,1,1,2,3.6369583333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-02-02.wav,3,1,1,1,1,2,2,3.6036041666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-01-02.wav,3,1,1,1,2,1,2,3.7704166666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-02-02.wav,3,1,1,1,2,2,2,3.6035833333333334
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-01-01-02.wav,3,1,2,1,1,1,2,3.8371666666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-01-02-02.wav,3,1,2,1,1,2,2,4.004
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-02-01-02.wav,3,1,2,1,2,1,2,3.8371666666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-02-02-02.wav,3,1,2,1,2,2,2,3.970625
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-01-01-02.wav,3,1,2,2,1,1,2,4.137479166666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-01-02-02.wav,3,1,2,2,1,2,2,4.037375
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-02-01-02.wav,3,1,2,2,2,1,2,4.104104166666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-02-02-02.wav,3,1,2,2,2,2,2,4.104104166666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-01-01-02.wav,3,1,3,1,1,1,2,3.6036041666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-01-02-02.wav,3,1,3,1,1,2,2,3.7036875
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-02-01-02.wav,3,1,3,1,2,1,2,3.7704375
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-02-02-02.wav,3,1,3,1,2,2,2,3.7370833333333335
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-01-01-02.wav,3,1,3,2,1,1,2,3.703708333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-01-02-02.wav,3,1,3,2,1,2,2,3.6703333333333332
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-02-01-02.wav,3,1,3,2,2,1,2,3.703708333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-02-02-02.wav,3,1,3,2,2,2,2,3.8705208333333334
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-01-01-02.wav,3,1,4,1,1,1,2,3.8371666666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-01-02-02.wav,3,1,4,1,1,2,2,3.7704375
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-02-01-02.wav,3,1,4,1,2,1,2,3.7370625
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-02-02-02.wav,3,1,4,1,2,2,2,3.7704375
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-01-01-02.wav,3,1,4,2,1,1,2,3.7370833333333335
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-01-02-02.wav,3,1,4,2,1,2,2,3.7704166666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-02-01-02.wav,3,1,4,2,2,1,2,3.7036875
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-02-02-02.wav,3,1,4,2,2,2,2,3.6703333333333332
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-01-01-02.wav,3,1,5,1,1,1,2,3.6703333333333332
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-01-02-02.wav,3,1,5,1,1,2,2,3.6703333333333332
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-02-01-02.wav,3,1,5,1,2,1,2,3.7704166666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-02-02-02.wav,3,1,5,1,2,2,2,3.8037916666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-01-01-02.wav,3,1,5,2,1,1,2,3.9039166666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-01-02-02.wav,3,1,5,2,1,2,2,4.004
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-02-01-02.wav,3,1,5,2,2,1,2,4.004
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-02-02-02.wav,3,1,5,2,2,2,2,4.004
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-01-01-02.wav,3,1,6,1,1,1,2,3.636979166666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-01-02-02.wav,3,1,6,1,1,2,2,3.7370625
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-02-01-02.wav,3,1,6,1,2,1,2,3.6703333333333332
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-02-02-02.wav,3,1,6,1,2,2,2,3.7370625
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-01-01-02.wav,3,1,6,2,1,1,2,3.8037916666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-01-02-02.wav,3,1,6,2,1,2,2,3.636979166666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-02-01-02.wav,3,1,6,2,2,1,2,3.6036041666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-02-02-02.wav,3,1,6,2,2,2,2,3.6036041666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-01-01-02.wav,3,1,7,1,1,1,2,3.6703333333333332
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-01-02-02.wav,3,1,7,1,1,2,2,3.636979166666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-02-01-02.wav,3,1,7,1,2,1,2,3.8705416666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-02-02-02.wav,3,1,7,1,2,2,2,3.8371666666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-01-01-02.wav,3,1,7,2,1,1,2,4.137458333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-01-02-02.wav,3,1,7,2,1,2,2,4.137458333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-02-01-02.wav,3,1,7,2,2,1,2,4.004
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-02-02-02.wav,3,1,7,2,2,2,2,4.037375
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-01-01-02.wav,3,1,8,1,1,1,2,3.5368541666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-01-02-02.wav,3,1,8,1,1,2,2,3.5368541666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-02-01-02.wav,3,1,8,1,2,1,2,3.6036041666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-02-02-02.wav,3,1,8,1,2,2,2,3.536875
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-01-01-02.wav,3,1,8,2,1,1,2,3.7370625
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-01-02-02.wav,3,1,8,2,1,2,2,3.7704375
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-02-01-02.wav,3,1,8,2,2,1,2,3.7370833333333335
D:/1188976/Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-02-02-02.wav,3,1,8,2,2,2,2,3.8038125
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-01-01-03.wav,3,1,1,1,1,1,3,3.4367708333333336
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-01-02-03.wav,3,1,1,1,1,2,3,3.5035
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-02-01-03.wav,3,1,1,1,2,1,3,3.5035
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-02-02-03.wav,3,1,1,1,2,2,3,3.4701458333333335
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-01-01-03.wav,3,1,2,1,1,1,3,3.8371666666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-01-02-03.wav,3,1,2,1,1,2,3,3.7370625
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-02-01-03.wav,3,1,2,1,2,1,3,3.8371666666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-02-02-03.wav,3,1,2,1,2,2,3,3.970625
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-01-01-03.wav,3,1,2,2,1,1,3,4.037375
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-01-02-03.wav,3,1,2,2,1,2,3,3.970645833333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-02-01-03.wav,3,1,2,2,2,1,3,4.137458333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-02-02-03.wav,3,1,2,2,2,2,3,4.004
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-01-01-03.wav,3,1,3,1,1,1,3,3.7704166666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-01-02-03.wav,3,1,3,1,1,2,3,3.6035833333333334
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-02-01-03.wav,3,1,3,1,2,1,3,3.5035
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-02-02-03.wav,3,1,3,1,2,2,3,3.5035
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-01-01-03.wav,3,1,3,2,1,1,3,4.3043125
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-01-02-03.wav,3,1,3,2,1,2,3,4.404395833333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-02-01-03.wav,3,1,3,2,2,1,3,4.137458333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-02-02-03.wav,3,1,3,2,2,2,3,3.8371666666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-01-01-03.wav,3,1,4,1,1,1,3,3.6036041666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-01-02-03.wav,3,1,4,1,1,2,3,3.5702291666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-02-01-03.wav,3,1,4,1,2,1,3,3.5702291666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-02-02-03.wav,3,1,4,1,2,2,3,3.536875
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-01-01-03.wav,3,1,4,2,1,1,3,3.7704375
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-01-02-03.wav,3,1,4,2,1,2,3,3.8371666666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-02-01-03.wav,3,1,4,2,2,1,3,3.470125
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-02-02-03.wav,3,1,4,2,2,2,3,3.7036875
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-01-01-03.wav,3,1,5,1,1,1,3,4.004
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-01-02-03.wav,3,1,5,1,1,2,3,4.070729166666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-02-01-03.wav,3,1,5,1,2,1,3,3.8038125
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-02-02-03.wav,3,1,5,1,2,2,3,3.8371666666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-01-01-03.wav,3,1,5,2,1,1,3,4.404395833333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-01-02-03.wav,3,1,5,2,1,2,3,4.404416666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-02-01-03.wav,3,1,5,2,2,1,3,4.2375625
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-01-01-03.wav,3,1,6,1,1,1,3,3.7370833333333335
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-01-02-03.wav,3,1,6,1,1,2,3,3.8371666666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-02-01-03.wav,3,1,6,1,2,1,3,3.5035
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-02-02-03.wav,3,1,6,1,2,2,3,3.2032083333333334
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-01-01-03.wav,3,1,6,2,1,1,3,3.3033125
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-01-02-03.wav,3,1,6,2,1,2,3,3.9038958333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-02-01-03.wav,3,1,6,2,2,1,3,3.3033125
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-02-02-03.wav,3,1,6,2,2,2,3,3.4367708333333336
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-01-01-03.wav,3,1,7,1,1,1,3,4.037375
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-01-02-03.wav,3,1,7,1,1,2,3,3.970645833333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-02-01-03.wav,3,1,7,1,2,1,3,3.6036041666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-02-02-03.wav,3,1,7,1,2,2,3,3.7704375
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-07-02-01-01-03.wav,3,1,7,2,1,1,3,4.104104166666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-07-02-01-02-03.wav,3,1,7,2,1,2,3,4.104104166666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-07-02-02-01-03.wav,3,1,7,2,2,1,3,3.8371666666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-07-02-02-02-03.wav,3,1,7,2,2,2,3,3.9372708333333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-08-01-01-01-03.wav,3,1,8,1,1,1,3,3.2365625
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-08-01-01-02-03.wav,3,1,8,1,1,2,3,3.370041666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-08-01-02-01-03.wav,3,1,8,1,2,1,3,3.2032083333333334
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-08-01-02-02-03.wav,3,1,8,1,2,2,3,3.5702291666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-08-02-01-01-03.wav,3,1,8,2,1,1,3,3.2699375
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-08-02-01-02-03.wav,3,1,8,2,1,2,3,3.6036041666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-08-02-02-01-03.wav,3,1,8,2,2,1,3,3.5035
D:/1188976/Audio_Speech_Actors_01-24\Actor_03\03-01-08-02-02-02-03.wav,3,1,8,2,2,2,3,3.2365625
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-01-01-01-01-04.wav,3,1,1,1,1,1,4,3.3032916666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-01-01-01-02-04.wav,3,1,1,1,1,2,4,3.370041666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-01-01-02-01-04.wav,3,1,1,1,2,1,4,3.2699375
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-01-01-02-02-04.wav,3,1,1,1,2,2,4,3.2365625
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-02-01-01-01-04.wav,3,1,2,1,1,1,4,3.8037916666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-02-01-01-02-04.wav,3,1,2,1,1,2,4,3.7370625
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-02-01-02-01-04.wav,3,1,2,1,2,1,4,3.636979166666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-02-01-02-02-04.wav,3,1,2,1,2,2,4,3.57025
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-01-01-04.wav,3,1,2,2,1,1,4,3.970625
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-01-02-04.wav,3,1,2,2,1,2,4,3.8038125
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-02-01-04.wav,3,1,2,2,2,1,4,3.8037916666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-02-02-04.wav,3,1,2,2,2,2,4,4.037375
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-01-01-04.wav,3,1,3,1,1,1,4,3.5035
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-01-02-04.wav,3,1,3,1,1,2,4,3.5368541666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-02-01-04.wav,3,1,3,1,2,1,4,3.5035
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-02-02-04.wav,3,1,3,1,2,2,4,3.4367708333333336
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-01-01-04.wav,3,1,3,2,1,1,4,3.8705416666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-01-02-04.wav,3,1,3,2,1,2,4,3.5702291666666666
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-02-01-04.wav,3,1,3,2,2,1,4,3.6036041666666665
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-02-02-04.wav,3,1,3,2,2,2,4,3.7704166666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-01-01-04.wav,3,1,4,1,1,1,4,3.370041666666667
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-01-02-04.wav,3,1,4,1,1,2,4,3.403395833333333
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-02-01-04.wav,3,1,4,1,2,1,4,3.4367708333333336
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-02-02-04.wav,3,1,4,1,2,2,4,3.470125
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-01-01-04.wav,3,1,4,2,1,1,4,3.6703333333333332
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-01-02-04.wav,3,1,4,2,1,2,4,3.7704375
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-02-01-04.wav,3,1,4,2,2,1,4,3.7704375
D:/1188976/Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-02-02-04.wav,3,1,4,2,2,2,4,3.7704375
